Data,Nome,Plataforma,Rate
2011.03,A Space Shooter for 2 Bucks! (repeat item),'PS3',
2011.03,Comet Crash,'PS3',
2011.03,Oddworld: Abe’s Exoddus (repeat item),'PS One',
2011.03,Pix’n Love Rush,'Mini',
2011.03,Enigmo,'Mini',
2011.02,Sonic the Hedgehog,'Mini',
2011.02,Spyro Year of the Dragon,'PS3',
2011.02,Let’s Golf,'PS3',
2011.02,Stacking,'PS3',
2011.02,Karimogi,'PS3',
2011.01,Digger HD,'PS3',
2011.01,Spyro 2: Ripto’s Rage,'Mini',
2011.01,Hero of Sparta,'Mini',
2011.01,Pipe Madness,'PS One',
2010.12,Lead &amp; Gold,'PS One',
2010.12,Spyro the Dragon,'PS One',
2010.12,A Space Shooter For 2 Bucks,'PS One',
2010.12,Crash Team Racing,'PS One',
2010.11,Sam &amp; Max: The Devil’s Playhouse (Episodes 1-5),'Mini',
2010.11,Sackboy's Prehistoric Moves,'Mini',
2010.11,Vector TD,'PS3',
2010.11,DYNOGEMS,'Mini',
2010.11,Oddworld: Abe’s Exoddus,'Mini',
2010.10,Shatter,'PS3',
2010.10,BreakQuest,'Mini',
2010.10,Bubble Trubble,'PS3',
2010.09,Bloons,'PS One',
2010.09,Oddworld: Abe’s Oddysee,'PS3',
2010.09,Echoes,'PS3',
2010.09,Syphon Filter 3,'PS One',
2010.09,Zen Pinball,'Mini',
2010.08,Blast Off,'Mini',
2010.08,I Must Run!,'Mini',
2010.08,Vempires,'PS3',
2010.08,Xtreme,'Mini',
2010.07,Mushroom Wars,'Mini',
2010.07,Aero Racer,'PS3',
2010.07,Kahoots,'PS One',
2010.07,Syphon Filter,'Mini',
2010.06,Critter Crunch,'Mini',
2010.06,Field Runners,'PS3',
2010.06,Age of Zombies,'PS One',
,Rally Cross,'Mini',
,WipEout HD,'PS3',
,,'Mini',
,,'PS3',
,,'PS One',
,,'Mini',
,,'Mini',
,,'PS3',
,,'PS One',
,,'Mini',
,,'PS One',
,,'PS3',
,,'PS3',
,,'Mini',
,,'Mini',
,,'PS One',
,,'PS3',
,,'Mini',
,,'Mini',
,,'Mini',
,,'PS One',
,,'Mini',
,,'PS One',
,,'PS3',
,,'Mini',
,,'Mini',
,,'Mini',
,,'PS One',
,,'PS3',
,,'Mini',
,,'Mini',
,,'PS One',
,,'PS3',
,,'Mini',
,,'Mini',
,,'PS One',
,,'PS3',
